iter	phi	mu	r	Density	Potential
0	0	0.125	280000	2600	-522404
0	0	0.125	288000	2600	-521264
0	0	0.125	296000	2600	-520138
0	0	0.125	304000	2600	-518935
0	0	0.125	312000	2600	-517746
0	0	0.125	320000	2600	-516480
0	0	0.125	328000	2600	-515229
0	0	0.125	336000	2600	-513900
0	0	0.125	344000	2600	-512585
0	0	0.125	352000	2600	-511193
0	0	0.125	360000	2600	-509816
0	0	0.125	368000	2600	-508361
0	0	0.125	376000	2600	-506921
0	0	0.125	384000	2600	-505403
0	0	0.125	392000	2600	-503901
0	0	0.125	400000	2600	-502320
0	0	0.125	408000	2600	-500754
0	0	0.125	416000	2600	-499111
0	0	0.125	424000	2600	-497482
0	0	0.125	432000	2600	-495776
0	0	0.125	440000	2600	-494085
0	0	0.125	448000	2600	-492316
0	0	0.125	456000	2600	-490562
0	0	0.125	464000	2600	-488731
0	0	0.125	472000	2600	-486915
0	0	0.125	480000	2600	-485021
0	0	0.125	488000	2600	-483143
0	0	0.125	496000	2600	-481187
0	0	0.125	504000	2600	-479246
0	0	0.125	512000	2600	-477224
0	0	0.125	520000	2600	-475218
0	0	0.125	528000	2600	-473136
0	0	0.125	536000	2600	-471069
0	0	0.125	544000	2600	-468923
0	0	0.125	552000	2600	-466790
0	0	0.125	560000	2600	-464574
0	0	0.125	568000	2600	-462375
0	0	0.125	576000	2600	-460100
0	0	0.125	584000	2600	-457841
0	0	0.125	592000	2600	-455508
0	0	0.125	600000	2600	-453192
0	0	0.125	608000	2600	-450801
0	0	0.125	616000	2600	-448426
0	0	0.125	624000	2600	-445972
0	0	0.125	632000	2600	-443533
0	0	0.125	640000	2600	-441013
0	0	0.125	648000	2600	-438506
0	0	0.125	656000	2600	-435917
0	0	0.125	664000	2600	-433340
0	0	0.125	672000	2600	-430682
0	0	0.125	680000	2600	-428037
0	0	0.125	688000	2600	-425311
0	0	0.125	696000	2600	-422601
0	0	0.125	704000	2600	-419814
0	0	0.125	712000	2600	-417043
0	0	0.125	720000	2600	-414198
0	0	0.125	728000	2600	-411370
0	0	0.125	736000	2600	-408471
0	0	0.125	744000	2600	-405588
0	0	0.125	752000	2600	-402634
0	0	0.125	760000	2600	-399698
0	0	0.125	768000	2600	-396688
0	0	0.125	776000	2600	-393693
0	0	0.125	784000	2600	-390621
0	0	0.125	792000	2600	-387565
0	0	0.125	800000	2600	-384432
0	0	0.125	808000	2600	-381312
0	0	0.125	816000	2600	-378107
0	0	0.125	824000	2600	-374912
0	0	0.125	832000	2600	-371629
0	0	0.125	840000	2600	-368356
0	0	0.125	848000	2600	-364998
0	0	0.125	856000	2600	-361652
0	0	0.125	864000	2600	-358219
0	0	0.125	872000	2600	-354795
0	0	0.125	880000	2600	-351289
0	0	0.125	888000	2600	-347795
0	0	0.125	896000	2600	-344225
0	0	0.125	904000	2600	-340670
0	0	0.125	912000	2600	-337066
0	0	0.125	920000	2600	-333491
0	0	0.125	928000	2600	-329883
0	0	0.125	936000	2600	-326309
0	0	0.125	944000	0	-322719
0	0	0.125	952000	0	-319171
0	0	0.125	960000	0	-315646
0	0	0.125	968000	0	-312208
0	0	0.125	976000	0	-308855
0	0	0.125	984000	0	-305584
0	0	0.125	992000	0	-302391
0	0	0.125	1e+06	0	-299273
0	0	0.125	1.008e+06	0	-296228
0	0	0.125	1.016e+06	0	-293252
0	0	0.125	1.024e+06	0	-290343
0	0	0.15625	0	2600	-541661
0	0	0.15625	8000	2600	-541668
0	0	0.15625	16000	2600	-541597
0	0	0.15625	24000	2600	-541541
0	0	0.15625	32000	2600	-541406
0	0	0.15625	40000	2600	-541286
0	0	0.15625	48000	2600	-541088
0	0	0.15625	56000	2600	-540905
0	0	0.15625	64000	2600	-540643
0	0	0.15625	72000	2600	-540396
0	0	0.15625	80000	2600	-540071
0	0	0.15625	88000	2600	-539760
0	0	0.15625	96000	2600	-539371
0	0	0.15625	104000	2600	-538996
0	0	0.15625	112000	2600	-538544
0	0	0.15625	120000	2600	-538106
0	0	0.15625	128000	2600	-537590
0	0	0.15625	136000	2600	-537088
0	0	0.15625	144000	2600	-536508
0	0	0.15625	152000	2600	-535943
0	0	0.15625	160000	2600	-535299
0	0	0.15625	168000	2600	-534671
0	0	0.15625	176000	2600	-533964
0	0	0.15625	184000	2600	-533271
0	0	0.15625	192000	2600	-532501
0	0	0.15625	200000	2600	-531745
0	0	0.15625	208000	2600	-530910
0	0	0.15625	216000	2600	-530091
0	0	0.15625	224000	2600	-529193
0	0	0.15625	232000	2600	-528310
0	0	0.15625	240000	2600	-527349
0	0	0.15625	248000	2600	-526402
0	0	0.15625	256000	2600	-525377
0	0	0.15625	264000	2600	-524366
0	0	0.15625	272000	2600	-523278
0	0	0.15625	280000	2600	-522204
